Timestamp,Pickup Postcode,Dropoff Postcode,Distance (km),Duration (minutes),Fare Amount (£),Tip (%),Tip Amount (£),Total Amount (£),Payment Type,Passenger Count
2024-02-01 00:04:08,G227DU,G521NT,12.967,18.68,20.73,0.0%,0.0,20.73,Card,1
2024-02-01 00:04:41,G157XN,G158DL,1.219,2.93,6.35,0.0%,0.0,6.35,Card,2
2024-02-01 00:12:26,G312UG,G402LF,2.069,6.08,8.1,5.0%,0.4,8.5,Card,1
2024-02-01 00:21:45,G214LE,G226ER,3.179,6.2,8.97,0.0%,0.0,8.97,Card,1
2024-02-01 00:23:28,G226FB,G211XW,2.988,7.63,9.34,0.0%,0.0,9.34,Card,1
2024-02-01 00:30:10,G116EL,G427BQ,6.238,12.08,13.35,0.0%,0.0,13.35,Card,1
2024-02-01 00:33:12,G23AX,G206LE,2.352,7.48,8.81,0.0%,0.0,8.81,Card,2
2024-02-01 00:42:15,G404DF,G402DE,1.64,5.3,7.5,0.0%,0.0,7.5,Cash,1
2024-02-01 00:42:26,G213SX,G49HU,6.785,12.88,14.04,0.0%,0.0,14.04,Card,2
2024-02-01 00:50:08,G156DE,G21DA,11.159,23.68,21.14,0.0%,0.0,21.14,Card,2
2024-02-01 01:32:11,G133NE,G134NH,2.859,4.9,8.28,5.0%,0.41,8.69,Card,3
2024-02-01 01:55:20,G413HQ,G420HS,3.928,11.9,11.55,0.0%,0.0,12.71,Cash,1
2024-02-01 02:07:11,G513DB,G117HZ,3.903,9.73,10.77,0.0%,0.0,10.77,Unknown,2
2024-02-01 02:11:27,G413LP,G132JS,12.424,24.38,22.33,10.0%,2.23,24.56,Card,2
2024-02-01 02:15:28,G120BT,G12AJ,5.648,20.3,15.81,0.0%,0.0,16.6,Unknown,1
2024-02-01 02:16:08,G401LT,G313DU,3.292,10.37,10.53,5.0%,0.53,11.06,Card,1
2024-02-01 02:19:44,G49JT,G211RU,3.426,10.25,10.59,0.0%,0.0,10.59,Unknown,2
2024-02-01 02:31:44,G115PN,G226AY,6.603,17.63,15.58,0.0%,0.0,15.58,Card,1
2024-02-01 02:33:39,G412AB,G40LF,6.476,17.68,15.5,0.0%,0.0,16.28,Unknown,1
2024-02-01 02:43:14,G134AT,G158JL,3.846,8.22,10.19,0.0%,0.0,10.19,Card,1
2024-02-01 02:52:15,G213RB,G414ER,16.783,19.1,23.74,0.0%,0.0,23.74,Card,1
2024-02-01 03:12:23,G412TB,G211XE,8.108,22.65,18.48,0.0%,0.0,18.48,Card,1
2024-02-01 03:54:43,G521DR,G207AH,7.814,16.17,15.97,0.0%,0.0,15.97,Card,1
2024-02-01 04:58:36,G140AL,G420QJ,9.599,15.33,17.02,0.0%,0.0,17.02,Card,1
2024-02-01 05:18:02,G208NR,G28JB,4.914,12.6,12.54,0.0%,0.0,13.17,Cash,2
2024-02-01 05:31:45,G129SW,G50TR,8.091,15.23,15.85,10.0%,1.58,17.43,Card,2
2024-02-01 06:32:07,G315LQ,G156SH,18.209,30.23,27.64,0.0%,0.0,27.64,Card,1
2024-02-01 06:42:22,G206QZ,G214NB,4.712,13.4,11.57,5.0%,0.58,12.15,Card,1
2024-02-01 06:44:42,G415LU,G315JL,10.444,17.28,17.24,5.0%,0.86,18.1,Card,1
2024-02-01 07:12:17,G211EF,G158HG,13.25,27.58,22.98,5.0%,1.15,24.13,Card,2
2024-02-01 07:15:59,G117TZ,G38GP,3.905,7.22,8.78,0.0%,0.0,8.78,Card,1
2024-02-01 07:23:21,G131QP,G21EQ,8.697,23.67,18.19,0.0%,0.0,18.19,Card,2
2024-02-01 07:29:37,G40AW,G523TN,10.832,16.38,17.21,0.0%,0.0,17.21,Card,1
2024-02-01 08:20:54,G521LH,G40AX,9.522,19.7,17.4,0.0%,0.0,17.4,Card,1
2024-02-01 08:40:44,G511HQ,G414JF,5.29,9.63,10.67,0.0%,0.0,10.67,Unknown,1
2024-02-01 09:08:04,G158DA,G38UJ,11.556,20.37,19.16,0.0%,0.0,20.12,Unknown,1
2024-02-01 09:35:18,G37NB,G415DL,5.891,10.8,11.53,0.0%,0.0,11.53,Card,1
2024-02-01 09:50:59,G514FG,G206UN,7.353,14.1,13.8,5.0%,0.69,14.49,Card,1
2024-02-01 10:11:30,G214LR,G149FF,11.742,17.2,18.18,10.0%,1.82,20.0,Card,1
2024-02-01 10:15:51,G213HP,G429TH,14.944,23.43,22.79,15.0%,3.42,26.21,Card,1
2024-02-01 10:39:42,G523NQ,G522PN,1.078,4.82,5.81,0.0%,0.0,5.81,Card,1
2024-02-01 11:00:43,G413DJ,G226TA,9.665,25.68,19.62,0.0%,0.0,19.62,Card,2
2024-02-01 11:23:44,G427LB,G420DS,3.661,9.68,9.47,0.0%,0.0,9.47,Card,2
2024-02-01 11:50:07,G413BE,G120QR,8.716,23.78,18.24,0.0%,0.0,18.24,Unknown,2
2024-02-01 11:54:59,G11QU,G411AY,4.034,15.8,11.91,0.0%,0.0,11.91,Card,2
2024-02-01 12:11:34,G513YD,G140HH,5.955,10.95,11.64,10.0%,1.16,12.8,Card,2
2024-02-01 12:23:41,G129AS,G134LU,7.018,16.37,14.35,0.0%,0.0,16.5,Unknown,1
2024-02-01 13:02:14,G28LX,G226SX,5.002,15.88,12.66,0.0%,0.0,12.66,Card,2
2024-02-01 13:12:04,G24PH,G404BX,6.067,11.03,11.75,0.0%,0.0,11.75,Card,2
2024-02-01 13:23:41,G11LG,G200SQ,8.072,19.07,16.09,0.0%,0.0,18.5,Cash,1
2024-02-01 13:50:13,G315HH,G24JD,7.17,14.73,13.88,0.0%,0.0,13.88,Card,2
2024-02-01 13:54:29,G49XF,G225DR,1.98,5.6,6.76,0.0%,0.0,7.1,Unknown,1
2024-02-01 14:00:55,G403EU,G128PW,9.672,21.62,18.19,15.0%,2.73,20.92,Card,1
2024-02-01 14:06:49,G133TU,G129LN,5.368,14.4,12.41,0.0%,0.0,12.41,Card,1
2024-02-01 14:13:25,G213AG,G50NT,11.029,21.03,19.0,0.0%,0.0,19.0,Card,2
2024-02-01 14:29:49,G140PE,G208JE,7.697,18.22,15.51,15.0%,2.33,17.84,Card,2
2024-02-01 14:36:09,G29XR,G214JQ,4.419,10.27,10.24,0.0%,0.0,11.78,Unknown,2
2024-02-01 14:52:27,G314BY,G140HT,14.498,22.55,22.14,0.0%,0.0,22.14,Card,1
2024-02-01 15:13:21,G315DD,G40PA,6.434,14.33,13.19,0.0%,0.0,13.19,Cash,1
2024-02-01 15:18:10,G128NQ,G37HU,1.97,7.58,7.46,0.0%,0.0,7.46,Cash,1
2024-02-01 15:40:55,G212PR,G133RP,11.387,15.32,17.25,0.0%,0.0,17.25,Card,1
2024-02-01 16:00:50,G311QG,G115RT,7.123,14.1,13.62,5.0%,0.68,14.3,Card,1
2024-02-01 16:02:39,G514PP,G522DT,2.938,6.87,7.93,0.0%,0.0,7.93,Cash,2
2024-02-01 16:12:58,G225EJ,G311BZ,5.104,13.15,11.77,0.0%,0.0,11.77,Card,1
2024-02-01 16:38:13,G402QP,G132QP,12.16,23.37,20.68,15.0%,3.1,23.78,Card,1
2024-02-01 16:51:21,G428JR,G225QQ,6.893,19.23,15.26,0.0%,0.0,16.79,Cash,1
2024-02-01 17:23:56,G15HA,G211RR,3.42,10.95,9.73,0.0%,0.0,9.73,Card,3
2024-02-01 17:32:28,G514AW,G512EL,2.959,6.75,7.9,0.0%,0.0,7.9,Card,1
2024-02-01 17:54:56,G40JQ,G314BG,4.278,11.25,10.48,15.0%,1.57,12.05,Card,1
2024-02-01 18:07:51,G49QL,G38PP,2.672,8.87,8.44,0.0%,0.0,8.44,Card,1
2024-02-01 18:10:00,G420DG,G402RZ,4.868,10.77,10.76,0.0%,0.0,10.76,Card,1
2024-02-01 18:26:35,G40QY,G134HZ,16.232,24.95,24.29,0.0%,0.0,24.29,Card,1
2024-02-01 18:30:00,G157NJ,G132DW,5.337,10.62,11.06,10.0%,1.11,12.17,Card,1
2024-02-01 18:32:52,G414LF,G314QG,13.832,15.48,19.14,0.0%,0.0,21.05,Cash,1
2024-02-01 18:40:14,G120QR,G235AN,2.734,19.65,12.29,5.0%,0.61,12.9,Card,2
2024-02-01 18:49:52,G428LQ,G156AR,13.606,26.07,22.72,0.0%,0.0,22.72,Card,2
2024-02-01 19:06:39,G213DZ,G314NQ,7.026,17.17,14.64,0.0%,0.0,14.64,Card,2
2024-02-01 19:08:35,G49ED,G311BQ,5.111,20.15,14.25,0.0%,0.0,14.25,Card,1
2024-02-01 19:14:48,G522AG,G38RZ,8.19,15.42,14.89,0.0%,0.0,16.38,Cash,2
